id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
273,0.176296651,6.028526527,7.83625151,2014-09-21T22:35:05.000Z,2014-09-21T02:35:04.810Z,2014-09-21T02:35:04.810Z,,2467,12284,54317
274,0.170364473,6.530108461,8.637828252,2014-09-21T22:35:06.000Z,2014-09-21T02:35:05.717Z,2014-09-21T02:35:05.717Z,,2467,12284,54317
275,0.210053526,6.909743627,8.637828252,2014-09-21T22:35:07.000Z,2014-09-21T02:35:06.801Z,2014-09-21T02:35:06.801Z,,2467,12284,54317
286,0.808527669,10,18.10418413,2014-09-21T22:35:28.000Z,2014-09-21T02:35:27.098Z,2014-09-21T02:35:27.098Z,,2467,12284,54317
288,1.01001855,12.50403064,17.64964326,2014-09-21T22:35:30.000Z,2014-09-21T02:35:29.084Z,2014-09-21T02:35:29.084Z,,2467,12284,54317
293,0.679742947,9.139965677,16.83936723,2014-09-21T22:35:35.000Z,2014-09-21T02:35:34.110Z,2014-09-21T02:35:34.110Z,,2467,12284,54317
294,0.47754348,9.273374945,15.94794325,2014-09-21T22:35:36.000Z,2014-09-21T02:35:35.079Z,2014-09-21T02:35:35.079Z,,2467,12284,54317
295,0.244357879,7.430602004,15.56959467,2014-09-21T22:35:37.000Z,2014-09-21T02:35:36.104Z,2014-09-21T02:35:36.104Z,,2467,12284,54317
296,0.180457545,6.387947951,15.35868351,2014-09-21T22:35:38.000Z,2014-09-21T02:35:37.103Z,2014-09-21T02:35:37.103Z,,2467,12284,54317
297,0.334457754,6.324601021,15.59592421,2014-09-21T22:35:39.000Z,2014-09-21T02:35:38.107Z,2014-09-21T02:35:38.107Z,,2467,12284,54317
298,0.302163048,6.271869162,13.79674259,2014-09-21T22:35:40.000Z,2014-09-21T02:35:39.103Z,2014-09-21T02:35:39.103Z,,2467,12284,54317
299,0.289106179,5.629693082,10.10508679,2014-09-21T22:35:41.000Z,2014-09-21T02:35:40.102Z,2014-09-21T02:35:40.102Z,,2467,12284,54317
300,0.478424825,5.173870734,6.191139049,2014-09-21T22:35:42.000Z,2014-09-21T02:35:41.098Z,2014-09-21T02:35:41.098Z,,2467,12284,54317
301,0.658727435,4.414764328,4.698092822,2014-09-21T22:35:43.000Z,2014-09-21T02:35:42.100Z,2014-09-21T02:35:42.100Z,,2467,54317,12284
302,0.80190768,4.22099379,4.358933395,2014-09-21T22:35:44.000Z,2014-09-21T02:35:43.100Z,2014-09-21T02:35:43.100Z,,2467,12284,54317
303,0.975041435,2.724148894,4.358933395,2014-09-21T22:35:45.000Z,2014-09-21T02:35:44.103Z,2014-09-21T02:35:44.103Z,,2467,12284,54317
304,0.975041435,2.05152527,4.403334623,2014-09-21T22:35:46.000Z,2014-09-21T02:35:45.101Z,2014-09-21T02:35:45.101Z,,2467,12284,54317
305,1.460114293,2.332560856,4.709621641,2014-09-21T22:35:47.000Z,2014-09-21T02:35:46.101Z,2014-09-21T02:35:46.101Z,,2467,12284,54317
306,1.631575731,2.357711931,5.475140752,2014-09-21T22:35:48.000Z,2014-09-21T02:35:47.104Z,2014-09-21T02:35:47.104Z,,2467,12284,54317
307,1.568408721,2.560868874,5.284083391,2014-09-21T22:35:49.000Z,2014-09-21T02:35:48.115Z,2014-09-21T02:35:48.115Z,,2467,12284,54317
308,1.718384104,3.060168208,3.743121421,2014-09-21T22:35:50.000Z,2014-09-21T02:35:49.118Z,2014-09-21T02:35:49.118Z,,2467,12284,54317
309,1.491487594,2.221069431,3.154798708,2014-09-21T22:35:51.000Z,2014-09-21T02:35:50.104Z,2014-09-21T02:35:50.104Z,,2467,12284,54317
310,1.81864098,1.970927004,3.303585717,2014-09-21T22:35:52.000Z,2014-09-21T02:35:51.117Z,2014-09-21T02:35:51.117Z,,12284,2467,54317
311,2.140226973,2.299666333,3.816157208,2014-09-21T22:35:53.000Z,2014-09-21T02:35:52.099Z,2014-09-21T02:35:52.099Z,,12284,2467,54317
312,1.815501025,2.143725321,4.347715036,2014-09-21T22:35:54.000Z,2014-09-21T02:35:53.098Z,2014-09-21T02:35:53.098Z,,2467,12284,54317
313,1.568847218,2.429631972,4.401290077,2014-09-21T22:35:55.000Z,2014-09-21T02:35:54.098Z,2014-09-21T02:35:54.098Z,,2467,12284,54317
314,0.884283844,2.946142115,4.222649617,2014-09-21T22:35:56.000Z,2014-09-21T02:35:55.103Z,2014-09-21T02:35:55.103Z,,2467,12284,54317
315,0.644187622,3.482961959,4.469477474,2014-09-21T22:35:57.000Z,2014-09-21T02:35:56.103Z,2014-09-21T02:35:56.103Z,,2467,12284,54317
316,0.8139402,3.764216681,4.772020014,2014-09-21T22:35:58.000Z,2014-09-21T02:35:57.116Z,2014-09-21T02:35:57.116Z,,2467,12284,54317
317,1.080698886,3.117738017,5.045584974,2014-09-21T22:35:59.000Z,2014-09-21T02:35:58.097Z,2014-09-21T02:35:58.097Z,,2467,12284,54317
318,1.340684279,2.745336256,5.045584974,2014-09-21T22:36:00.000Z,2014-09-21T02:35:59.100Z,2014-09-21T02:35:59.100Z,,2467,12284,54317
319,1.527141736,2.753261533,5.191430018,2014-09-21T22:36:01.000Z,2014-09-21T02:36:00.099Z,2014-09-21T02:36:00.099Z,,2467,12284,54317
320,1.675716846,2.833138739,5.36243359,2014-09-21T22:36:02.000Z,2014-09-21T02:36:01.079Z,2014-09-21T02:36:01.079Z,,2467,12284,54317
321,1.791239847,2.89909865,5.61710946,2014-09-21T22:36:03.000Z,2014-09-21T02:36:02.113Z,2014-09-21T02:36:02.113Z,,2467,12284,54317
322,2.083300893,3.094976263,5.61710946,2014-09-21T22:36:04.000Z,2014-09-21T02:36:03.101Z,2014-09-21T02:36:03.101Z,,2467,12284,54317
323,2.291780271,3.554779267,4.681403766,2014-09-21T22:36:05.000Z,2014-09-21T02:36:04.079Z,2014-09-21T02:36:04.079Z,,2467,12284,54317
324,1.46589362,3.26420576,4.063218108,2014-09-21T22:36:06.000Z,2014-09-21T02:36:05.103Z,2014-09-21T02:36:05.103Z,,2467,12284,54317
325,1.46589362,2.679971831,4.067253213,2014-09-21T22:36:07.000Z,2014-09-21T02:36:06.110Z,2014-09-21T02:36:06.110Z,,2467,12284,54317
326,1.112097999,2.696030626,3.979030668,2014-09-21T22:36:08.000Z,2014-09-21T02:36:07.099Z,2014-09-21T02:36:07.099Z,,2467,12284,54317
327,1.178921691,2.871200297,3.994299364,2014-09-21T22:36:09.000Z,2014-09-21T02:36:08.077Z,2014-09-21T02:36:08.077Z,,2467,12284,54317
328,1.274951828,2.871200297,3.994299364,2014-09-21T22:36:10.000Z,2014-09-21T02:36:09.081Z,2014-09-21T02:36:09.081Z,,2467,12284,54317
329,1.277834517,2.906428349,4.369897294,2014-09-21T22:36:11.000Z,2014-09-21T02:36:10.072Z,2014-09-21T02:36:10.072Z,,2467,12284,54317
330,1.4879876,3.123277293,4.674208641,2014-09-21T22:36:12.000Z,2014-09-21T02:36:11.104Z,2014-09-21T02:36:11.104Z,,2467,12284,54317
331,1.640132399,3.076903839,4.798352628,2014-09-21T22:36:13.000Z,2014-09-21T02:36:12.094Z,2014-09-21T02:36:12.094Z,,2467,12284,54317
